Java HotSpot(TM) 64-Bit Server VM (25.101-b13) for bsd-amd64 JRE (1.8.0_101-b13), built on Jun 22 2016 02:42:15 by "java_re" with gcc 4.2.1 (Based on Apple Inc. build 5658) (LLVM build 2336.11.00)
Memory: 4k page, physical 8388608k(1015292k free)

/proc/meminfo:

CommandLine flags: -XX:InitialHeapSize=1073741824 -XX:MaxHeapSize=1073741824 -XX:MaxNewSize=1048576 -XX:NewSize=1048576 -XX:+PrintGC -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:+UseSerialGC 
0.873: [GC (Allocation Failure) 0.873: [DefNew: 959K->63K(960K), 0.0045465 secs] 26043K->26039K(1048512K), 0.0047661 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
0.899: [GC (Allocation Failure) 0.899: [DefNew: 959K->64K(960K), 0.0051761 secs] 26935K->26930K(1048512K), 0.0052557 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
0.924: [GC (Allocation Failure) 0.924: [DefNew: 960K->63K(960K), 0.0027894 secs] 27826K->27824K(1048512K), 0.0028410 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
0.948: [GC (Allocation Failure) 0.948: [DefNew: 959K->64K(960K), 0.0024509 secs] 28720K->28718K(1048512K), 0.0025110 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.968: [GC (Allocation Failure) 0.968: [DefNew: 960K->63K(960K), 0.0075969 secs] 29614K->29610K(1048512K), 0.0077601 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
0.996: [GC (Allocation Failure) 0.996: [DefNew: 959K->63K(960K), 0.0021747 secs] 30506K->30504K(1048512K), 0.0022229 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
1.022: [GC (Allocation Failure) 1.022: [DefNew: 959K->63K(960K), 0.0025157 secs] 31400K->31398K(1048512K), 0.0025632 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
1.048: [GC (Allocation Failure) 1.048: [DefNew: 959K->64K(960K), 0.0030601 secs] 32294K->32289K(1048512K), 0.0031233 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.091: [GC (Allocation Failure) 1.091: [DefNew: 960K->63K(960K), 0.0030479 secs] 33185K->33178K(1048512K), 0.0031125 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
1.120: [GC (Allocation Failure) 1.120: [DefNew: 959K->64K(960K), 0.0033196 secs] 34074K->34073K(1048512K), 0.0033824 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
1.144: [GC (Allocation Failure) 1.144: [DefNew: 960K->63K(960K), 0.0031724 secs] 34969K->34966K(1048512K), 0.0032299 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.177: [GC (Allocation Failure) 1.177: [DefNew: 959K->63K(960K), 0.0076590 secs] 35862K->35852K(1048512K), 0.0077539 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
1.206: [GC (Allocation Failure) 1.206: [DefNew: 959K->63K(960K), 0.0032341 secs] 36748K->36741K(1048512K), 0.0032938 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
